timestamp,symbol,direction,lot,ret
2025-12-29T01:12:19.954000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:19.954000,US500.cash,1,49541324.99,10014
2025-12-29T01:12:19.959000,JP225.cash,-1,773508523.6,10014
2025-12-29T01:12:24.966000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:24.966000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:24.966000,USDCHF,-1,390925.64,10014
2025-12-29T01:12:24.973000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:24.973000,US500.cash,1,49541324.99,10014
2025-12-29T01:12:24.981000,JP225.cash,-1,773503569.46,10014
2025-12-29T01:12:29.986000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:29.989000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:29.991000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:29.995000,USDCHF,-1,390925.64,10014
2025-12-29T01:12:30.003000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:30.010000,JP225.cash,-1,773473844.67,10014
2025-12-29T01:12:35.013000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:35.017000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:35.019000,USDCHF,-1,390925.64,10014
2025-12-29T01:12:35.023000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:35.026000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:35.032000,JP225.cash,-1,773429257.48,10014
2025-12-29T01:12:40.035000,EURUSD,1,495413.25,10014
2025-12-29T01:12:40.035000,GBPUSD,1,495413.25,10014
2025-12-29T01:12:40.037000,AUDUSD,1,495413.25,10014
2025-12-29T01:12:40.039000,NZDUSD,1,495413.25,10014
2025-12-29T01:12:40.041000,USDCHF,-1,390925.64,10014
2025-12-29T01:12:40.051000,XAUUSD,-1,495413.25,10014
2025-12-29T01:12:40.057000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:12:40.060000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:12:40.066000,US500.cash,-1,49541324.99,10014
2025-12-29T01:12:40.068000,JP225.cash,-1,773434211.61,10014
2025-12-29T01:12:45.075000,EURUSD,1,495413.25,10014
2025-12-29T01:12:45.075000,GBPUSD,1,495413.25,10014
